Registration;Manuf.;Model;Type;c/n;l/n;Reg/Opr;SELC;built;delivery;until;status
HB-JAP;EMBRAER;ERJ-145LR;E145;145475;;SWR;;2001;2002-03-31;2003;reregistered
HB-JAQ;EMBRAER;ERJ-145LR;E145;145498;;SWR;;2001;2002-03-31;2003;reregistered
HB-JAR;EMBRAER;ERJ-145LU;E145;145510;;SWR;;2001;2002-03-31;2003;reregistered
HB-JAS;EMBRAER;ERJ-145LU;E145;145559;;SWR;;2002;2002-03-31;2005;reregistered
HB-JAT;EMBRAER;ERJ-145LU;E145;145564;;SWR;;2002;2002-03-31;2005;to other opr
HB-JAU;EMBRAER;ERJ-145LU;E145;145570;;SWR;;2002;2002-03-31;2005;to other opr
HB-JAV;EMBRAER;ERJ-145LU;E145;145574;;SWR;;2002;2002-03-31;2005;to other opr
HB-JAW;EMBRAER;ERJ-145LU;E145;145580;;SWR;;2002;2002-04-18;2005;to other opr
HB-JAX;EMBRAER;ERJ-145LU;E145;145588;;SWR;;2002;2002-04-25;2003;reregistered
HB-JAX;EMBRAER;ERJ-145LU;E145;145588;;SWR;;2002;2004-01-29;2005;to other opr
HB-JAY;EMBRAER;ERJ-145LU;E145;145601;;SWR;;2002;2002-05-28;2003;reregistered
HB-JAY;EMBRAER;ERJ-145LU;E145;145601;;SWR;;2002;2004-05-29;2005;to other opr
HB-JML;Airbus;A340-313;A343;263;;SWR;DKEQ;1999;2007-08-06;2016;wfu/stored
